"FileName","FilePath","FileSize","Version","ComplexityScore","Worksheets","Dashboards","Stories","DataSourcesWithData","Parameters","TotalFields","CalculatedFields","LODCalculations","TableCalculations","TotalFilters","TotalActions","DashboardZones","ParameterControls","FilterControls"
"IDS520_AmolModi_FinalProject.twb","C:\Github\tableau-documenter\samples\amol-modi_Tableau\IDS520_AmolModi_FinalProject.twb","208095","10.1","23","5","1","0","1","0","8","3","0","0","0","0","1","0","0"
"67_twb.twb","C:\Github\tableau-documenter\samples\vishnu-t-r_tableau_twbx\67_twb.twb","449747","18.1","27","5","0","0","2","0","20","7","0","0","0","0","0","0","0"
